,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
134,ROXANNE,"Arizona Zervas",244814,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
135,"WHATS POPPIN","Jack Harlow",244151,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
136,"20 Min","Lil Uzi Vert",244054,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
137,"Take You Dancing","Jason Derulo",243618,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
138,"Intentions (feat. Quavo)","Justin Bieber",242820,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
139,"Chasin' You","Morgan Wallen",241766,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
140,Falling,"Trevor Daniel",239901,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
141,"Rain On Me (with Ariana Grande)","Lady Gaga",239682,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
142,"HIGHEST IN THE ROOM","Travis Scott",239509,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
143,"Excitement (feat. PARTYNEXTDOOR)","Trippie Redd",238699,https://open.spotify.com/track/7FullO2NDkyvxLuxYVKINa
144,"forget me too (feat. Halsey)","Machine Gun Kelly",237058,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
145,Bang!,AJR,236841,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
146,Hawái,Maluma,236046,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
147,"Kacey Talk","YoungBoy Never Broke Again",233673,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
148,"We Paid (feat. 42 Dugg)","Lil Baby",231677,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
149,"No Role Modelz","J. Cole",231068,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
150,SAD!,XXXTENTACION,228931,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
151,"Said Sum (feat. City Girls & DaBaby) - Remix","Moneybagg Yo",226060,https://open.spotify.com/track/13VXVxePp4NUiXwtmQ0viz
152,PIKACHU,"The Kid LAROI",226014,https://open.spotify.com/track/33QXHN1SzNgHIRPr7qYknV
153,"Girls in the Hood","Megan Thee Stallion",225142,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
154,"SICKO MODE","Travis Scott",225057,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
155,Diamonds,"Sam Smith",224801,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
156,"The Less I Know The Better","Tame Impala",224323,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
157,"Tongue Tied",Grouplove,224093,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
158,"Got What I Got","Jason Aldean",223398,https://open.spotify.com/track/4TCc369aRPRubv1m8R1TBG
159,"Onna Come Up","Lil Eazzyy",221688,https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
